Designator,Mid X,Mid Y,Rotation,Layer
SW1,57.15,-33.3375,0.0,top
SW10,83.34375,-109.5375,0.0,top
SW11,95.25,-33.3375,0.0,top
SW12,104.775,-52.3875,0.0,top
SW13,109.5375,-71.4375,0.0,top
SW14,114.3,-90.4875,0.0,top
SW15,107.15625,-109.5375,0.0,top
SW16,114.3,-33.3375,0.0,top
SW17,123.825,-52.3875,0.0,top
SW18,128.5875,-71.4375,0.0,top
SW19,133.35,-90.4875,0.0,top
SW2,61.9125,-52.3875,0.0,top
SW20,130.96875,-109.5375,0.0,top
SW21,133.35,-33.3375,0.0,top
SW22,142.875,-52.3875,0.0,top
SW23,147.6375,-71.4375,0.0,top
SW24,152.4,-90.4875,0.0,top
SW25,164.30625,-109.5375,180.0,top
SW26,152.4,-33.3375,0.0,top
SW27,161.925,-52.3875,0.0,top
SW28,166.6875,-71.4375,0.0,top
SW29,171.45,-90.4875,0.0,top
SW3,64.29375,-71.4375,0.0,top
SW4,66.675,-90.4875,180.0,top
SW5,59.53125,-109.5375,0.0,top
SW6,76.2,-33.3375,0.0,top
SW7,85.725,-52.3875,0.0,top
SW8,90.4875,-71.4375,0.0,top
SW9,95.25,-90.4875,0.0,top
